Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
48gjzt2y,10454594,MR1_HH3.mp3,3,4,6,trial,33,12,trial,42
48gjzt2y,10454594,MR1_LH3.mp3,3,2,13,trial,67,14,trial,82
48gjzt2y,10454594,MR1_MH2.mp3,3,3,9,trial,59,15,trial,40
48gjzt2y,10454594,MR1_Oct.mp3,3,1,1,trial,89,2,trial,80
4de091m2,10369089,HR1_HH3.mp3,4,4,12,trial,0,11,trial,0
4de091m2,10369089,HR1_LH3.mp3,4,2,7,trial,0,4,trial,0
4de091m2,10369089,HR1_MH2.mp3,4,3,8,trial,0,7,trial,0
4de091m2,10369089,HR1_Oct.mp3,4,1,13,trial,0,13,trial,14
4de091m2,10369089,Iso_HH3.mp3,1,4,16,trial,25,5,trial,0
4de091m2,10369089,Iso_LH3.mp3,1,2,10,trial,54,16,trial,31
4de091m2,10369089,Iso_MH2.mp3,1,3,11,trial,52,2,trial,53
4de091m2,10369089,Iso_Oct.mp3,1,1,15,trial,64,10,trial,43
4de091m2,10369089,LR3_HH3.mp3,2,4,5,trial,15,3,trial,0
4de091m2,10369089,LR3_LH3.mp3,2,2,2,trial,39,6,trial,41
4de091m2,10369089,LR3_MH2.mp3,2,3,9,trial,46,12,trial,12
4de091m2,10369089,LR3_Oct.mp3,2,1,3,trial,25,15,trial,59
4de091m2,10369089,MR1_HH3.mp3,3,4,6,trial,19,9,trial,24
4de091m2,10369089,MR1_LH3.mp3,3,2,1,trial,78,8,trial,68
4de091m2,10369089,MR1_MH2.mp3,3,3,14,trial,74,1,trial,80
4de091m2,10369089,MR1_Oct.mp3,3,1,4,trial,62,14,trial,63
4omjmnly,10650496,HR1_HH3.mp3,4,4,9,trial,0,5,trial,0
4omjmnly,10650496,HR1_LH3.mp3,4,2,7,trial,19,13,trial,1
4omjmnly,10650496,HR1_MH2.mp3,4,3,15,trial,27,3,trial,0
4omjmnly,10650496,HR1_Oct.mp3,4,1,12,trial,0,14,trial,10
4omjmnly,10650496,Iso_HH3.mp3,1,4,10,trial,44,15,trial,2
4omjmnly,10650496,Iso_LH3.mp3,1,2,2,trial,64,4,trial,21
4omjmnly,10650496,Iso_MH2.mp3,1,3,14,trial,66,7,trial,65
4omjmnly,10650496,Iso_Oct.mp3,1,1,1,trial,58,6,trial,27
4omjmnly,10650496,LR3_HH3.mp3,2,4,3,trial,52,1,trial,70
4omjmnly,10650496,LR3_LH3.mp3,2,2,11,trial,73,12,trial,65
4omjmnly,10650496,LR3_MH2.mp3,2,3,8,trial,30,9,trial,61
4omjmnly,10650496,LR3_Oct.mp3,2,1,5,trial,67,10,trial,68
