"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"mku0ap8q",10757060,"chinese",5,6,5,4,6,5,3,7,2,6,2,6,4,2,6,2,3,2,2,2,5,2,4,4,1,5,5,4,3,5,5,4,4,5,5,4,4,5,5,5
"newsk0qj",10615298,"chinese",3,3,3,4,2,2,5,4,3,4,4,4,6,6,3,1,1,2,3,1,4,3,5,4,2,4,4,5,4,4,4,4,2,5,4,4,3,3,4,4
"ns18an7k",10615389,"chinese",7,3,5,6,5,7,1,5,2,6,1,5,1,1,6,3,5,4,4,3,4,2,4,5,1,4,4,5,4,5,5,4,5,4,5,4,4,5,4,5
"o00n09ra",10747854,"chinese",5,5,4,6,4,5,2,5,2,6,4,7,2,4,6,2,1,1,1,1,5,2,4,4,1,4,5,4,5,5,4,5,4,5,5,4,4,4,5,5
"o0dyu6gp",10620353,"chinese",6,5,2,5,6,5,3,6,2,6,1,4,3,6,5,1,1,1,1,1,4,2,5,4,3,4,5,4,4,4,5,2,2,5,4,4,5,2,4,4
"orulc1bi",10621140,"chinese",5,3,3,5,6,3,2,4,1,5,2,4,4,5,6,2,3,5,4,4,4,1,4,5,1,4,5,4,5,5,4,5,4,5,5,4,4,5,5,4
"ovmnpl9p",10794601,"chinese",5,1,1,1,2,1,7,1,6,6,6,5,7,7,2,2,5,2,3,2,5,1,5,5,1,3,5,5,4,5,4,2,4,5,5,5,5,2,5,4
"p455rgb0",10679132,"chinese",5,6,7,6,5,6,2,6,2,6,7,5,1,2,6,4,3,5,5,3,4,1,4,5,1,4,5,4,4,5,4,5,4,4,5,4,5,1,4,5
"pfpjv0dg",10620383,"chinese",5,6,5,3,4,4,5,5,2,4,2,5,4,7,3,1,1,1,2,1,5,1,4,4,2,4,4,4,5,4,4,2,3,5,4,4,4,2,4,4
"ph77cheh",10620384,"chinese",6,7,1,6,7,7,1,7,1,7,1,1,1,2,7,3,3,4,4,2,4,2,5,5,2,4,4,5,4,5,5,4,4,5,5,4,4,5,5,5
